	article_title	article_quality	revision_id	country	population	region
0	Shahjahan Noori	GA	1099689043	Afghanistan	41100000.0	SOUTH ASIA
1	Abdul Ghafar Lakanwal	Start	943562276	Afghanistan	41100000.0	SOUTH ASIA
2	Majah Ha Adrif	Start	852404094	Afghanistan	41100000.0	SOUTH ASIA
3	Haroon al-Afghani	B	1095102390	Afghanistan	41100000.0	SOUTH ASIA
4	Tayyab Agha	Start	1104998382	Afghanistan	41100000.0	SOUTH ASIA
5	Ahmadullah Wasiq	Start	1109361754	Afghanistan	41100000.0	SOUTH ASIA
6	Aziza Ahmadyar	Start	1087211008	Afghanistan	41100000.0	SOUTH ASIA
7	Muqadasa Ahmadzai	Start	1082489593	Afghanistan	41100000.0	SOUTH ASIA
8	Mohammad Sarwar Ahmedzai	Start	1038918070	Afghanistan	41100000.0	SOUTH ASIA
9	Amir Muhammad Akhundzada	Start	1069322182	Afghanistan	41100000.0	SOUTH ASIA
10	Nasrullah Baryalai Arsalai	Start	1095526840	Afghanistan	41100000.0	SOUTH ASIA
11	Mohammad Asim Asim	Stub	1013838830	Afghanistan	41100000.0	SOUTH ASIA
12	Atiqullah Atifmal	Start	1112407669	Afghanistan	41100000.0	SOUTH ASIA
13	Abdul Rahim Ayoubi	Start	1108886061	Afghanistan	41100000.0	SOUTH ASIA
14	Alhaj Mutalib Baig	Start	1111494041	Afghanistan	41100000.0	SOUTH ASIA
15	Ismael Balkhi	Start	1112534409	Afghanistan	41100000.0	SOUTH ASIA
16	Abdul Baqi Turkistani	Stub	889226470	Afghanistan	41100000.0	SOUTH ASIA
17	Mohammad Ghous Bashiri	Start	1102150221	Afghanistan	41100000.0	SOUTH ASIA
18	Abas Basir	C	1098419766	Afghanistan	41100000.0	SOUTH ASIA
19	Jan Baz	Stub	997027082	Afghanistan	41100000.0	SOUTH ASIA
20	Ahmad Behzad	Start	1103948295	Afghanistan	41100000.0	SOUTH ASIA
21	Bashir Ahmad Bezan	Start	1060707209	Afghanistan	41100000.0	SOUTH ASIA
22	Rafiullah Bidar	Stub	977208323	Afghanistan	41100000.0	SOUTH ASIA
23	Mohammad Siddiq Chakari	Stub	1105913099	Afghanistan	41100000.0	SOUTH ASIA
24	Cheragh Ali Cheragh	Start	1087211968	Afghanistan	41100000.0	SOUTH ASIA
25	Nasir Ahmad Durrani	Stub	988838315	Afghanistan	41100000.0	SOUTH ASIA
26	Elay Ershad	Stub	1102489654	Afghanistan	41100000.0	SOUTH ASIA
27	Muhammad Hashim Esmatullahi	Stub	949986748	Afghanistan	41100000.0	SOUTH ASIA
28	Ezatullah (Nangarhar)	Stub	947885788	Afghanistan	41100000.0	SOUTH ASIA
29	Aimal Faizi	Stub	1033383351	Afghanistan	41100000.0	SOUTH ASIA
30	Mohammad Nasim Faqiri	Start	1098051193	Afghanistan	41100000.0	SOUTH ASIA
31	Mohammad Nazar Faqiri	Stub	1095525798	Afghanistan	41100000.0	SOUTH ASIA
32	Sharif Ghalib	B	1041460606	Afghanistan	41100000.0	SOUTH ASIA
33	Hashmat Ghani Ahmadzai	C	1112933356	Afghanistan	41100000.0	SOUTH ASIA
34	Abdul Ghani Ghani	Stub	1072441893	Afghanistan	41100000.0	SOUTH ASIA
35	Ashraf Ghani	B	1113195582	Afghanistan	41100000.0	SOUTH ASIA
36	Abdul Samad Ghaus	Stub	1072271854	Afghanistan	41100000.0	SOUTH ASIA
37	Ghulam Ghaus	Stub	1115758710	Afghanistan	41100000.0	SOUTH ASIA
38	Ghulam Muhammad Ghobar	Stub	1108886395	Afghanistan	41100000.0	SOUTH ASIA
39	Mohammad Gul (Helmand Council)	Stub	1092523687	Afghanistan	41100000.0	SOUTH ASIA
40	Ghulam Haider Hamidi	Start	1095018556	Afghanistan	41100000.0	SOUTH ASIA
41	Rangina Hamidi	C	1104280812	Afghanistan	41100000.0	SOUTH ASIA
42	Abdul Malik Hamwar	Stub	1100874645	Afghanistan	41100000.0	SOUTH ASIA
43	Sayed Zafar Hashemi	Start	1112804808	Afghanistan	41100000.0	SOUTH ASIA
44	Qutbuddin Hilal	Start	1104423275	Afghanistan	41100000.0	SOUTH ASIA
45	Shahnaz Himmeti	Stub	909966254	Afghanistan	41100000.0	SOUTH ASIA
46	Anarkali Kaur Honaryar	Start	1069574154	Afghanistan	41100000.0	SOUTH ASIA
47	Mahboba Hoqomal	Stub	1092518990	Afghanistan	41100000.0	SOUTH ASIA
48	Musa Hotak	Start	1094201417	Afghanistan	41100000.0	SOUTH ASIA
49	Mirza Muhammad Ismail	C	1073524466	Afghanistan	41100000.0	SOUTH ASIA
50	Sayed Jalal	Start	1078580238	Afghanistan	41100000.0	SOUTH ASIA
51	Said Tayeb Jawad	C	1093621927	Afghanistan	41100000.0	SOUTH ASIA
52	Faizullah Kakar	C	1108932917	Afghanistan	41100000.0	SOUTH ASIA
53	Amin Karim	C	1106333491	Afghanistan	41100000.0	SOUTH ASIA
54	Sayed Jalal Karim	Start	1060701067	Afghanistan	41100000.0	SOUTH ASIA
55	Ahmed Wali Karzai	GA	1090245979	Afghanistan	41100000.0	SOUTH ASIA
56	Khadija Zahra Ahmadi	Stub	1115331693	Afghanistan	41100000.0	SOUTH ASIA
57	Hafizullah Shabaz Khail	Start	1092416288	Afghanistan	41100000.0	SOUTH ASIA
58	Rouh Gul Khairzad	Stub	925562571	Afghanistan	41100000.0	SOUTH ASIA
59	Masoud Khalili	GA	1103105365	Afghanistan	41100000.0	SOUTH ASIA
60	Mohammad Khan (athlete)	Stub	1070779097	Afghanistan	41100000.0	SOUTH ASIA
61	Samoud Khan	Start	1010948755	Afghanistan	41100000.0	SOUTH ASIA
62	Farzana Kochai	Stub	1079430136	Afghanistan	41100000.0	SOUTH ASIA
63	Farida Kuchi	Start	1109436134	Afghanistan	41100000.0	SOUTH ASIA
64	Baran Khan Kudezai	Start	1106151353	Afghanistan	41100000.0	SOUTH ASIA
65	Azizullah Lodin	Start	1102817004	Afghanistan	41100000.0	SOUTH ASIA
66	Razaq Mamoon	Start	1100189662	Afghanistan	41100000.0	SOUTH ASIA
67	Fazel Ahmed Manawi	Stub	1106464575	Afghanistan	41100000.0	SOUTH ASIA
68	Moeen Marastial	Start	1102907176	Afghanistan	41100000.0	SOUTH ASIA
69	Ahmad Massoud	C	1112608262	Afghanistan	41100000.0	SOUTH ASIA
70	Ahmad Wali Massoud	Start	1108236868	Afghanistan	41100000.0	SOUTH ASIA
71	Mohammad Daud Miraki	C	1112192884	Afghanistan	41100000.0	SOUTH ASIA
72	Abdul Sattar Mirzakwal	Stub	1044450376	Afghanistan	41100000.0	SOUTH ASIA
73	Abdul Karim Misaq	Stub	1052669338	Afghanistan	41100000.0	SOUTH ASIA
74	Ali Mohammad (politician)	Stub	1050463798	Afghanistan	41100000.0	SOUTH ASIA
75	Nasruddin Mohseni	Start	1095044526	Afghanistan	41100000.0	SOUTH ASIA
76	Davood Moradian	Stub	1106284627	Afghanistan	41100000.0	SOUTH ASIA
77	Zalmai Mujadidi	Start	1104635001	Afghanistan	41100000.0	SOUTH ASIA
78	Fazal Haq Mujahid	C	1113267490	Afghanistan	41100000.0	SOUTH ASIA
79	Rahmatullah Nabil	Start	1112496538	Afghanistan	41100000.0	SOUTH ASIA
80	Sardar Mohammad Nadir Naeem	Stub	1038680015	Afghanistan	41100000.0	SOUTH ASIA
81	Daoud Naji	Start	1110983467	Afghanistan	41100000.0	SOUTH ASIA
82	Gholam Rabani Nasher	Stub	916899472	Afghanistan	41100000.0	SOUTH ASIA
83	Muhammad Yunus Nawandish	C	1111494390	Afghanistan	41100000.0	SOUTH ASIA
84	Ali Maisam Nazary	Start	1107279930	Afghanistan	41100000.0	SOUTH ASIA
85	Ghulam Faroq Nijrabi	Stub	1093612575	Afghanistan	41100000.0	SOUTH ASIA
86	Zabih-U-llah Ghazi Noristani	Start	1001786762	Afghanistan	41100000.0	SOUTH ASIA
87	Mohammed Tahir Omar	Stub	996093541	Afghanistan	41100000.0	SOUTH ASIA
88	Nasrin Oryakhil	Start	1097277701	Afghanistan	41100000.0	SOUTH ASIA
89	Murad Quenili	Stub	1093963498	Afghanistan	41100000.0	SOUTH ASIA
90	Ghulam Mohammad Rigi	Stub	918256992	Afghanistan	41100000.0	SOUTH ASIA
91	Ghulam Hassan Safi	Stub	987269301	Afghanistan	41100000.0	SOUTH ASIA
92	Hanifa Safi	Stub	994195074	Afghanistan	41100000.0	SOUTH ASIA
93	Amrullah Saleh	FA	1115022704	Afghanistan	41100000.0	SOUTH ASIA
94	Mohammed Zia Salehi	Stub	889806024	Afghanistan	41100000.0	SOUTH ASIA
95	Abdul Majid Samim	Stub	1098092701	Afghanistan	41100000.0	SOUTH ASIA
96	Saber Sangar	Stub	1019860497	Afghanistan	41100000.0	SOUTH ASIA
97	Muhammad Arif Sarwari	Start	1079170926	Afghanistan	41100000.0	SOUTH ASIA
98	Sayed Nasim Mihanparast	Stub	1115496635	Afghanistan	41100000.0	SOUTH ASIA
99	Sayyid Husayn	Stub	1095559301	Afghanistan	41100000.0	SOUTH ASIA
100	Suhail Shaheen	Start	1102910228	Afghanistan	41100000.0	SOUTH ASIA
101	Mohammad Shakir Kargar	C	1096574840	Afghanistan	41100000.0	SOUTH ASIA
102	Baktash Siawash	Stub	1111917754	Afghanistan	41100000.0	SOUTH ASIA
103	Awtar Singh	Stub	1115100619	Afghanistan	41100000.0	SOUTH ASIA
104	Hasan Ali Sultani	Stub	1060706902	Afghanistan	41100000.0	SOUTH ASIA
105	Faramarz Tamanna	C	1106885861	Afghanistan	41100000.0	SOUTH ASIA
106	Mohammad Hashem Taufiqui	Start	1021308429	Afghanistan	41100000.0	SOUTH ASIA
107	Nur ul-Haq Ulumi	GA	1107429109	Afghanistan	41100000.0	SOUTH ASIA
108	Pacha Gul Wafadar	Stub	1020846299	Afghanistan	41100000.0	SOUTH ASIA
109	Wahidullah Waissi	C	1111508295	Afghanistan	41100000.0	SOUTH ASIA
110	Gul Ahmmad Yama	Start	1060707715	Afghanistan	41100000.0	SOUTH ASIA
111	Al-Haj Suliman Yari	Stub	1092426408	Afghanistan	41100000.0	SOUTH ASIA
112	Abdul Salam Zaeef	GA	1106388504	Afghanistan	41100000.0	SOUTH ASIA
113	Abdul Zahir (Konar Education Minister)	Stub	1097261199	Afghanistan	41100000.0	SOUTH ASIA
114	Mohammed Zaman	Start	1108389318	Afghanistan	41100000.0	SOUTH ASIA
115	Ziauddin (Afghan militia leader)	Start	1095799892	Afghanistan	41100000.0	SOUTH ASIA
116	Qari Ziauddin	Start	1033608758	Afghanistan	41100000.0	SOUTH ASIA
117	Abdul Ghafor Zori	Stub	994023417	Afghanistan	41100000.0	SOUTH ASIA
118	Ali Pasha of Gusinje	GA	1114426634	Albania	2800000.0	SOUTHERN EUROPE
119	Ylli Asllani	Start	949182924	Albania	2800000.0	SOUTHERN EUROPE
120	Azis Tahir Ajdonati	Stub	994501003	Albania	2800000.0	SOUTHERN EUROPE
121	Bislim Bajgora	Start	1091800566	Albania	2800000.0	SOUTHERN EUROPE
122	Kastriot Berissa	Start	1094050369	Albania	2800000.0	SOUTHERN EUROPE
123	Bardhok Biba	C	1110580984	Albania	2800000.0	SOUTHERN EUROPE
124	Dervish Biçaku	Stub	1106794267	Albania	2800000.0	SOUTHERN EUROPE
125	Kostandin Boshnjaku	C	1107876476	Albania	2800000.0	SOUTHERN EUROPE
126	Spartak Braho	Start	1098235893	Albania	2800000.0	SOUTHERN EUROPE
127	Safet Butka	C	1067080697	Albania	2800000.0	SOUTHERN EUROPE
128	Uran Butka	Start	1087272778	Albania	2800000.0	SOUTHERN EUROPE
129	Refo Çapari	Start	1061419179	Albania	2800000.0	SOUTHERN EUROPE
130	Neritan Ceka	Start	1095178618	Albania	2800000.0	SOUTHERN EUROPE
131	Hysni Curri	Start	1114418989	Albania	2800000.0	SOUTHERN EUROPE
132	Ibrahim Dalliu	Start	1087026828	Albania	2800000.0	SOUTHERN EUROPE
133	Niazi Demi	Stub	1104589367	Albania	2800000.0	SOUTHERN EUROPE
134	Abdurrahman Dibra	Start	1101365003	Albania	2800000.0	SOUTHERN EUROPE
135	Fuad Dibra	Start	1079550815	Albania	2800000.0	SOUTHERN EUROPE
136	Isuf Dibra	Start	1108975040	Albania	2800000.0	SOUTHERN EUROPE
137	Bujar Dida	C	1112281152	Albania	2800000.0	SOUTHERN EUROPE
138	Ahmed Dino	Stub	1114424802	Albania	2800000.0	SOUTHERN EUROPE
139	Rasih Dino	Stub	1067061654	Albania	2800000.0	SOUTHERN EUROPE
140	Ferhat Bey Draga	C	1101927317	Albania	2800000.0	SOUTHERN EUROPE
141	Nexhip Draga	GA	1092914547	Albania	2800000.0	SOUTHERN EUROPE
142	Aqif Pasha Elbasani	B	1114425909	Albania	2800000.0	SOUTHERN EUROPE
143	Abas Ermenji	Start	1073827690	Albania	2800000.0	SOUTHERN EUROPE
144	Bajram Fevziu	Start	1089008480	Albania	2800000.0	SOUTHERN EUROPE
145	Qamil Musa Haxhi Feza	Stub	1015553118	Albania	2800000.0	SOUTHERN EUROPE
146	Themistokli Gërmenji	C	1099714241	Albania	2800000.0	SOUTHERN EUROPE
147	Sabri Godo	C	1105835401	Albania	2800000.0	SOUTHERN EUROPE
148	Mihal Grameno	C	1095879069	Albania	2800000.0	SOUTHERN EUROPE
149	Aćif Hadžiahmetović	GA	1104696112	Albania	2800000.0	SOUTHERN EUROPE
150	Albulena Haxhiu	Stub	1095286065	Albania	2800000.0	SOUTHERN EUROPE
151	High Council of Regency	C	1107096289	Albania	2800000.0	SOUTHERN EUROPE
152	Spiridon Kacarosi	Stub	993288548	Albania	2800000.0	SOUTHERN EUROPE
153	Kurt Agë Kadiu	Stub	998414015	Albania	2800000.0	SOUTHERN EUROPE
154	Mehmed Kalakula	Stub	979382854	Albania	2800000.0	SOUTHERN EUROPE
155	Alfred Karamuço	Stub	1098236555	Albania	2800000.0	SOUTHERN EUROPE
156	Ibrahim Karbunara	Start	1053849574	Albania	2800000.0	SOUTHERN EUROPE
