	name	ores_score
0	Shahjahan Noori	GA
1	Abdul Ghafar Lakanwal	Start
2	Majah Ha Adrif	Start
3	Haroon al-Afghani	B
4	Tayyab Agha	Start
5	Ahmadullah Wasiq	Start
6	Aziza Ahmadyar	Start
7	Muqadasa Ahmadzai	Start
8	Mohammad Sarwar Ahmedzai	Start
9	Amir Muhammad Akhundzada	Start
10	Nasrullah Baryalai Arsalai	Start
11	Mohammad Asim Asim	Stub
12	Atiqullah Atifmal	Start
13	Abdul Rahim Ayoubi	Start
14	Alhaj Mutalib Baig	Start
15	Ismael Balkhi	Start
16	Abdul Baqi Turkistani	Stub
17	Mohammad Ghous Bashiri	Start
18	Abas Basir	C
19	Jan Baz	Stub
20	Ahmad Behzad	Start
21	Bashir Ahmad Bezan	Start
22	Rafiullah Bidar	Stub
23	Mohammad Siddiq Chakari	Stub
24	Cheragh Ali Cheragh	Start
25	Nasir Ahmad Durrani	Stub
26	Elay Ershad	Stub
27	Muhammad Hashim Esmatullahi	Stub
28	Ezatullah (Nangarhar)	Stub
29	Aimal Faizi	Stub
30	Mohammad Nasim Faqiri	Start
31	Mohammad Nazar Faqiri	Stub
32	Sharif Ghalib	B
33	Hashmat Ghani Ahmadzai	C
34	Abdul Ghani Ghani	Stub
35	Ashraf Ghani	B
36	Abdul Samad Ghaus	Stub
37	Ghulam Ghaus	Stub
38	Ghulam Muhammad Ghobar	Stub
39	Mohammad Gul (Helmand Council)	Stub
40	Ghulam Haider Hamidi	Start
41	Rangina Hamidi	C
42	Abdul Malik Hamwar	Stub
43	Sayed Zafar Hashemi	Start
44	Qutbuddin Hilal	Start
45	Shahnaz Himmeti	Stub
46	Anarkali Kaur Honaryar	Start
47	Mahboba Hoqomal	Stub
48	Musa Hotak	Start
49	Mirza Muhammad Ismail	C
50	Sayed Jalal	Start
51	Said Tayeb Jawad	C
52	Faizullah Kakar	C
53	Amin Karim	C
54	Sayed Jalal Karim	Start
55	Ahmed Wali Karzai	GA
56	Khadija Zahra Ahmadi	Stub
57	Hafizullah Shabaz Khail	Start
58	Rouh Gul Khairzad	Stub
59	Masoud Khalili	GA
60	Mohammad Khan (athlete)	Stub
61	Samoud Khan	Start
62	Farzana Kochai	Stub
63	Farida Kuchi	Start
64	Baran Khan Kudezai	Start
65	Azizullah Lodin	Start
66	Razaq Mamoon	Start
67	Fazel Ahmed Manawi	Stub
68	Moeen Marastial	Start
69	Ahmad Massoud	C
70	Ahmad Wali Massoud	Start
71	Mohammad Daud Miraki	C
72	Abdul Sattar Mirzakwal	Stub
73	Abdul Karim Misaq	Stub
74	Ali Mohammad (politician)	Stub
75	Nasruddin Mohseni	Start
76	Davood Moradian	Stub
77	Zalmai Mujadidi	Start
78	Fazal Haq Mujahid	C
79	Rahmatullah Nabil	Start
80	Sardar Mohammad Nadir Naeem	Stub
81	Daoud Naji	Start
82	Gholam Rabani Nasher	Stub
83	Muhammad Yunus Nawandish	C
84	Ali Maisam Nazary	Start
85	Ghulam Faroq Nijrabi	Stub
86	Zabih-U-llah Ghazi Noristani	Start
87	Mohammed Tahir Omar	Stub
88	Nasrin Oryakhil	Start
89	Murad Quenili	Stub
90	Ghulam Mohammad Rigi	Stub
91	Ghulam Hassan Safi	Stub
92	Hanifa Safi	Stub
93	Amrullah Saleh	FA
94	Mohammed Zia Salehi	Stub
95	Abdul Majid Samim	Stub
96	Saber Sangar	Stub
97	Muhammad Arif Sarwari	Start
98	Sayed Nasim Mihanparast	Stub
99	Sayyid Husayn	Stub
100	Suhail Shaheen	Start
101	Mohammad Shakir Kargar	C
102	Baktash Siawash	Stub
103	Awtar Singh	Stub
104	Hasan Ali Sultani	Stub
105	Faramarz Tamanna	C
106	Mohammad Hashem Taufiqui	Start
107	Nur ul-Haq Ulumi	GA
108	Pacha Gul Wafadar	Stub
109	Wahidullah Waissi	C
110	Gul Ahmmad Yama	Start
111	Al-Haj Suliman Yari	Stub
112	Abdul Salam Zaeef	GA
113	Abdul Zahir (Konar Education Minister)	Stub
114	Mohammed Zaman	Start
115	Ziauddin (Afghan militia leader)	Start
116	Qari Ziauddin	Start
117	Abdul Ghafor Zori	Stub
